            2           3                                      4                                              5                                          6                                                         7                                                            8                    9
22        NaN         NaN                       자료구조, 이산수학, 논리설계               프로그래밍언어, 알고리즘, 계산이론, 컴퓨터구조, 전자기학            운영체제, 컴퓨터네트워크, 데이터베이스, 컴퓨터시스템설계        확률및랜덤과정, 인간컴퓨터상호작용입문, 데이터베이스시스템, 소프트웨어공학, 인터렉티브시각화        인터넷프로토콜, 소프트웨어공학, 임베디드시스템, 인공지능, 컴퓨터학콜로키움, 스타트업프로젝트관리                  NaN
23        NaN         NaN  자료구조, 알고리즘, 계산이론, 공학수학, 컴퓨터네트워크, 이산수학                                            NaN                                        NaN                                                       NaN                                                          NaN                  NaN
24       이산수학        논리설계                   계산이론, 데이터통신, 컴퓨터네트워크                                            NaN                                        NaN                                                       NaN                                                          NaN                  NaN
25        NaN         NaN           계산이론, 논리설계, 공학수학, 자료구조, 알고리즘            프로그래밍언어, 전자기학, 기계학습, 컴퓨터구조, 컴퓨터네트워크        소프트웨어공학, 데이터베이스, 확률및랜덤과정, 딥러닝, 인공지능                                                       NaN                                                          NaN                  NaN
26        NaN         NaN        자료구조, 컴퓨터네트워크, 계산이론, 논리설계, 이산수학                  컴퓨터구조, 알고리즘, 프로그래밍언어, 확률및랜덤과정    운영체제, 컴퓨터그래픽스, 데이터과학, 정보이론과추론학습, 데이터베이스                                                       NaN                                                          NaN                  NaN
27        NaN        공학수학     자료구조, 알고리즘, 이산수학, 논리설계, 회로이론, 계산이론  딥러닝, 인터렉티브시각화, 정보보호, 데이터베이스, 확률및랜덤과정, 컴퓨터네트워크      운영체제, 강화학습, 고급기계학습, 컴퓨터구조, 컴파일러, 인공지능                                                       NaN                                                          NaN                  NaN
28        NaN        자료구조                       논리설계, 운영체제, 계산이론           프로그래밍언어, 인공지능, 시스템프로그래밍, 알고리즘, 컴퓨터구조               딥러닝, 컴파일러, 알고리즘, 데이터과학, 이산수학                                                       NaN                                                          NaN                  NaN
29        NaN         NaN         이산수학, 자료구조, 계산이론, 논리설계, 정보와정보학                           알고리즘, 컴퓨터구조, 컴퓨터네트워크                      운영체제, 데이터베이스, 인터넷프로토콜                     프로그래밍언어, 시스템프로그래밍, 소프트웨어공학, 데이터베이스시스템                                                          NaN                  NaN
30        NaN         NaN                                    NaN                                            NaN       논리설계, 자료구조, 컴퓨터네트워크, 이산수학, 기업가정신과리더쉽                  프로그래밍언어, 컴퓨터구조, 운영체제, 계산이론, 전자기학, 데이터베이스  창의적소프트웨어창업방법론, 스타트업프로젝트관리, 실전sw프로젝트, 소프트웨어보안, 인공지능, 인터넷프로토콜                  NaN
31        NaN  계산이론, 논리설계         자료구조, 알고리즘, 컴퓨터구조, 이산수학, 데이터통신                                            NaN                                        NaN                                                       NaN                                                          NaN                  NaN
32        NaN         NaN                                    NaN                                            NaN      계산이론, 논리설계, 이산수학, 공학수학, 자료구조, 컴퓨터네트워크  프로그래밍언어, 시스템프로그래밍, 운영체제, 컴퓨터구조, 소프트웨어공학, 데이터베이스시스템, 알고리즘        컴퓨터시스템설계, 임베디드시스템, 볼록최적화입문, 정보이론과추론학습, 무선회로설계, 신호및시스템                  NaN
33        NaN         NaN         자료구조, 알고리즘, 데이터베이스, 이산수학, 계산이론                    전자기학, 컴퓨터구조, 컴퓨터네트워크, 전산학특강  인터넷프로토콜, 저전력컴퓨팅, 임베디드시스템, 운영체제, 기업가정신과리더쉽                                                       NaN                                                          NaN                  NaN
34        NaN         NaN                 이산수학, 계산이론, 논리설계, 자료구조                              공학수학, 알고리즘, 컴퓨터구조         운영체제, 데이터베이스, 공학수학, 확률및랜덤과정, 전산학특강                                                       NaN                                                          NaN                  NaN
35        NaN         NaN                                    NaN                                            NaN                                        NaN                                                       NaN                                                         운영체제                  NaN
36        NaN        자료구조                 계산이론, 논리설계, 이산수학, 알고리즘            확률및랜덤과정, 인공지능, 운영체제, 컴퓨터구조, 컴퓨터네트워크           데이터과학, 볼록최적화입문, 신호및시스템, 컴퓨터시스템설계                                                       NaN                                                          NaN                  NaN
37        NaN         NaN           자료구조, 계산이론, 이산수학, 논리설계, 공학수학              알고리즘, 컴퓨터구조, 데이터통신, 프로그래밍언어, 전자기학                인공지능, 데이터베이스, 운영체제, 컴퓨터그래픽스                            정보보호, 소프트웨어공학, 데이터베이스시스템, 기계학습                                         데이터과학, 컴퓨터네트워크, 컴파일러                  NaN
38        NaN         NaN                             이산수학, 논리설계                                            NaN                 알고리즘, 컴퓨터구조, 운영체제, 컴퓨터네트워크                                                      인공지능                                                          NaN                  NaN
39        NaN         NaN           이산수학, 자료구조, 알고리즘, 계산이론, 논리설계                 컴퓨터구조, 데이터통신, 공학수학, 전자기학, 기계학습     컴퓨터시스템설계, 컴퓨터그래픽스, 운영체제, 컴퓨터네트워크, 인공지능                                                       NaN                                                          NaN                  NaN
40        NaN         NaN                                    NaN                         이산수학, 자료구조, 알고리즘, 논리설계                          컴퓨터구조, 운영체제, 공학수학                               컴퓨터네트워크, 데이터베이스, 인공지능, 기계학습                                딥러닝, 자연어처리, 신호및시스템, 기업가정신과리더쉽                  NaN
41        NaN         NaN           자료구조, 알고리즘, 공학수학, 이산수학, 계산이론                              논리설계, 데이터통신, 기계학습               컴퓨터구조, 인공지능, 데이터베이스, 컴퓨터네트워크                                  운영체제, 딥러닝, 운영체제, 컴퓨터그래픽스                   자연어처리, 시스템프로그래밍, 컴파일러, 기업가정신과리더쉽, 컴퓨터학콜로키움                  NaN
42        NaN         NaN          알고리즘, 자료구조, 계산이론, 논리설계, 컴퓨터구조                                     공학수학, 이산수학                  운영체제, 프로그래밍언어, 인공지능, 기계학습                       딥러닝, 컴파일러, 컴퓨터네트워크, 데이터베이스, 확률및랜덤과정                                                 자연어처리, 데이터과학                  NaN
